original_filename,file,catalogue_no,title,title_notes,author,author_pid,url,editor,best_text,duplicate_of_standard,,Version: Completeness: incomplete | fragments | excerpts | uncertain,Version: Completness: further notes and specifications,"Title source: If not specified=MB, otherwise: Intenal/External+type (e.g. Colophon), if reconstructed add *",Title 2 (Muktabodha),"Ancillary to: MB catalogue number, or ilxM- entry specifically created when MB catalogue number is not available",Ancillary Type: Vyākhyātantra | Uttaratantra | Commentary | Sub-commentary| Ritual | Other | Excerpts,Ancillary Note (most commonly: if the commentary includes the mūla),Subjects (as in MB),Author's name: Source,Alternate name,"Alternate name: Source & Type (e.g. Muktabodha initial description, colophons etc.)",Colophon,Colophon Note
M00309 - pRthavIdharAcArya - bhuvanezvarImahAstotra.htm,pRthavIdharAcArya_bhuvanezvarImahAstotra_M00309.xml,M00309,Bhuvaneśvarīmahāstotra,,"Pṛthvīdharācārya and Padmanābha Kavi, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Unknown, Pṛthvīdharācārya and Anantadeva, Unknown","mbP0056 and mbP0142, mbP0056 and mbP0163",https://muktabodha-digital-library.org/texts/IAST/M00309,Gopal Narayan Bahura,,,,fragments,collection of 10 excerpts,colophon,,,,,"['tantric / āgamic literature', 'śākta', 'Paddhati']","colophon, colophon",,,1) iti śrīpṛthvīdharācāryaviracitaṃ śrībhuvaneśvarīstotraṃ śrīsiddhasārasvatāparaparyāyaṃ jayajayaharikavimallabhaṭṭalikhitaṃ samāptaṃ 2) śrīrudrayāmale daśavidyārahasye śrībhuvaneśvarīpaṭalaṃ sampūrṇam 3) iti śrīrudrayāmale tantre daśavidyārahasye śrībhuvaneśvaryā nityapūjanapaddhatiḥ sampūrṇā 4) iti śrīrudrayāmale tantre pārvatīśvarasaṃvāde trailokyamaṅgalam nāma bhuvaneśvarīkavacaṃ samāptam 5) iti śrīrudrayāmale tantre śrībhuvaneśvaryaṣṭakaṃ sampūrṇam 6) iti mahātantrārṇave īśvarapārvatīsaṃvādebhuvaneśvarībhakārādisahasranāma stotraṃ samāptam 7) iti nīlasarasvatītantre bhuvaneśvarīpaṭale śrīdevīśvarasaṃvāde śrībhuvaneśvarīhṛdayastotraṃ samāptam 8) iti śrīrudrayāmale tantre śrībhuvaneśvarīstotraṃ samāptam 9)iti pṛthvīdharācāryapaddhatiṃ śāradātilakaṃ nānātantramatamālambya śrīdā-īdevasampradāyinā mātṛpurasthitena anantadevena viracitāyāṃ bhuvaneśvarīkramacandrikāyāṃ pūjāvivaraṇaṃ nāma tṛtīyaḥ kalpaḥ 10) iti pṛthvīdharācāryaviracitaṃ laghusaptaśatīstotram,
M00130 - bhUtazuddhitantra.htm,bhUtazuddhitantra_M00130.xml,M00130,Bhūtaśuddhitantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00130,Chatterjee,,,,,17 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrībhūtaśuddhitantre haragaurīsaṃvāde prathamaḥ paṭalaḥ /// iti śrībhūtaśuddhitantraṃ samāptam,at beginning /// at end
M00505 - abhinavagupta - bhairavastava.htm,abhinavagupta_bhairavastava_M00505.xml,M00505,Bhairavastava,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00505,,,,,,,,Śivastuti,,,,['śaiva'],colophon,,,samāptam stavam idam abhinavākhyam padyanavakam,
M00202 - makuTAgama vIrazaiva rescension.htm,makuTAgama_vIrazaiva_rescension_M00202.xml,M00202,Makuṭāgama,Vīraśaiva rescension kriyācaryāpādau,,,https://muktabodha-digital-library.org/texts/IAST/M00202,,,,,,10 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrīmakuṭāgame uttarabhāge caryāpāde āśaucavidhikathanaṃ nāma daśamaḥ paṭalaḥ || samāptaścāyaṃ makuṭāgamaḥ,
M00036 - makuTAgama.htm,makuTAgama_M00036.xml,M00036,Makuṭāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00036,Dyczkowski Mark S. G.,,,,,12 chapters,,,,,,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta']",,,,iti makuṭe kriyāpāde ācāryalakṣaṇavidhirnāma dvādaśaḥ paṭalaḥ,
M00525 - makuTottararahasya.htm,makuTottararahasya_M00525.xml,M00525,Makuṭottararahasya,Chapter 3 of makuṭottararahasya,,,https://muktabodha-digital-library.org/texts/IAST/M00525,,,,,incomplete,only ch. 3,,Mantrayogoddhāra,,,,"['tantric / āgamic literature', 'śaiva']",,,,iti śrīmakuṭottararahasye mantrayogoddhāre tṛtīya spandaḥ,
M00110 - maNDalabrAhmaNopaniSat.htm,maNDalabrAhmaNopaniSat_M00110.xml,M00110,Maṇḍalabrāhmaṇopaniṣat Vivaraṇa,,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00110,Śāstrī Mahādeva,,,,,,colophon,Maṇḍalabrāhmaṇa Upaniṣat,ilxM00049,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,śrīvāsudevendraśiṣyopaniṣadbrahmayoginā | maṇḍalabrāhmaṇavyākhyā likhitā brahmagocarā | maṇḍalabrāhmaṇavyākhyāgranthastu triśataṃ smṛtaḥ || iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe aṣṭacatvāriṃśatsaṃkhyāpūrakaṃ maṇḍalabrāhmaṇopaniṣadvivaraṇaṃ saṃpūrṇam,
E00009 - aiyyaNAcArya - matatrayaikyaprakAzikA.htm,aiyyaNAcArya_matatrayaikyaprakAzikA_E00009.xml,E00009,Matatrayaikyaprakāśikā,,Aiyaṇācārya,mbP0057,https://muktabodha-digital-library.org/texts/IAST/E00009,,,,,,,,,,,,['tantric / āgamic literature'],colophon,,,iti śrīmatparamahaṃsaparivrājakācārya sarvatantrasvatantra śrīmadvasudhendratīrtha śrīmaccaraṇakaruṇālayena śrīmanmahānandatīrtha bhagavatpādācāryasiddhānitarasādhāraṇa pravacanādipaṭutara śrīvāṇāturairāmācāryatanaya gopālācāryasununā aiyaṇākhyena viracitāyāṃ trimataikyaprakāśikāyāṃ rāmānujamataikyaprakāśonāma tṛtīyaḥ paricchedaḥ ||  śrīkṛṣṇārpaṇamastu || samāptaścāpaṃ granthaḥ || śrīrastu,
M00515 - madhyapIThapUjAvidhi.htm,madhyapIThapUjAvidhi_M00515.xml,M00515,Madhyapīṭhapūjāvidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00515,,,,,incomplete,lacking explicit+final colophon,,,,,,['tantric / āgamic literature'],,,,(...) pūjā paddhati,at beginning
M00292 - AzAditya tripAThi - mantrakoSa.htm,AzAditya_tripAThi_mantrakoSa_M00292.xml,M00292,Mantrakoṣa,,Āśāditya Tripāṭhi,mbP0058,https://muktabodha-digital-library.org/texts/IAST/M00292,,,,,,,,,,,,['tantric / āgamic literature'],colophon,,,āśādityamatīśvaraḥ sakṛtavān śrīratnamaṃtrāvalīkoṣaṃ koṣavataḥ sato bhavati kiṃdāridryabhītiḥ kṣitau || iti śrīmadāśādityatripāṭhīsaṃgṛhītemaṃtrakoṣemudrādikathanaṃ +ADDITIONAL VERSES -  AT END - śrīśāke 1565 pauṣavadi 13 vudhānurādhāyāṃ likhitaṃ manoharasuta śrīmadanaṃtarārmaṇā || śubhamastu || vidhaḥ sarvacarācarasyadaṃ ca nelabdhā pratiṣṭātvayā sarvaṃ sādhumayaṃ kṛtaṃ viracitaṃ cāturyahīnaṃ dvayaṃ | āmraṃ sādhusudhārasaṃ niramitaṃ sthūlena vījena kiṃ nirvīryauvanitā kucauviracitau ced vettayasyāṣutaṃ,
M00229 - devanAtha thakkur - mantrakaumudI.htm,devanAtha_thakkur_mantrakaumudI_M00229.xml,M00229,Mantrakaumudī,,Devanātha Ṭhākura,mbP0059,https://muktabodha-digital-library.org/texts/IAST/M00229,,,,,,,,,,,,['tantric / āgamic literature'],catalog,Mahāmahopādhyāya Śrīdevanatha,colophon,iti śrītarkapañcānanamahāmahopādhyāyaśrīdevanathakṛtā mantrakaumudī samāptā,
M00635 - gosvAmIjanArdanaH jagannivAsaputraH - mantracandrikA.htm,gosvAmIjanArdanaH_jagannivAsaputraH_mantracandrikA_M00635.xml,M00635,Mantracandrikā,,Gosvāmi Janārdanaḥ,mbP0060,https://muktabodha-digital-library.org/texts/IAST/M00635,,,,,incomplete,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",colophon,Śrī Gosvāmi Jagannivāsa Ātmaja Śrī Gosvāmi Janārdana Bhaṭṭa,colophon,itiśrīgosvāmijagannivāsātmajaśrīgosvāmijanārdanabhaṭṭaviracitāyāṃmaṃtracaṃdrikāyāmekādaśaḥprakāśaḥ itiśivaprakaraṇaṃ samāptaṃ,towards end
M00403 - mahAguhyakAlIvidhAnam.htm,mahAguhyakAlIvidhAnam_M00403.xml,M00403,Mahāguhyakālīvidhāna,,,,https://muktabodha-digital-library.org/texts/IAST/M04003,,y,,,incomplete,,,,,,,['tantric / āgamic literature'],,,,iti yoginīhṛdaye guhyekālīrahasya devasya deharakṣakakavacannāma stotraṃ samāptaṃ,towards beginning
M00516 - mahAguhyakAlIvidhAna.htm,mahAguhyakAlIvidhAna_M00516.xml,M00516,Mahāguhyakālīvidhāna,,,,https://muktabodha-digital-library.org/texts/IAST/M00516,,n,muktabodha/mahAguhyakAlIvidhAnam_M00403.xml,,incomplete,(almost) same as M04003,,,,,,"['tantric / āgamic literature', 'śaiva']",,,,no,
M00033 - zitikaNTha - mahAnayaprakAza.htm,zitikaNTha_mahAnayaprakAza_M00033.xml,M00033,Mahānayaprakāśa,,Śitikaṇṭha,mbP0061,https://muktabodha-digital-library.org/texts/IAST/M00033,Dyczkowski Mark S. G.,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kālīkula / krama']",colophon,Śrī Mahāmāheśvarācārya Varya Śrī Śitikaṇṭha Ācārya,colophon,iti śrīmahāmāheśvarācāryavarya-śrīśitikaṇṭhācāryaviracite mahānayaprakāśe caturdaśa udayaḥ || samāptaścāyaṃ mahānayaprakāśaḥ + TILAKA,
M00034 - unknown (see catalog record notes) - mahAnayaprakAza.htm,unknown_(see_catalog_record_notes)_mahAnayaprakAza_M00034.xml,M00034,Mahānayaprakāśa,,,,https://muktabodha-digital-library.org/texts/IAST/M00034,Śāstrī K. S.,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kālīkula / krama']",,,,iti śrīmahānayaprakāśe sarvavailakṣaṇyapratipādano nāma prathamollāsaḥ,towards beginning
M00049 - mahAnirvAnatantra.htm,mahAnirvAnatantra_M00049.xml,M00049,Mahānirvānatantra Ṭīkā,,Hariharānanda Bharati,mbP0143,https://muktabodha-digital-library.org/texts/IAST/M00049,Arthur Avalon,,,,,only first half,colophon,,ilxM00050,commentary,including the mūla,"['tantric / āgamic literature', 'tantra / āgama']",catalog,John Woodroffe,,iti śrīmahānirvāṇatantre sarvatantrottamottame sarvadharmanirṇayasāre śrīmadādyāsadāśivasaṃvāde pūrvakāṇḍe śivaliṅgasthāpanacaturvidhāvadhūtavivaraṇakathanaṃ nāma caturdaśollāsaḥ | samāpto'yaṃ pūrvārdhaḥ | tejaḥsu tejasviṣu || iti śrīmahānirvāṇatantraṭīkāyāṃ caturdaśollāsaḥ,
M00552 - mahApratyaGgIrA.htm,mahApratyaGgIrA_M00552.xml,M00552,Mahāpratyaṅgīrā,,,,https://muktabodha-digital-library.org/texts/IAST/M00552,,,,,uncertain,yes?,,,,,,[''],,,,ityāryyamahāpratyaṃgirāyāṃ śakraparivarttanonāma /// yādṛṣṭaṃ puṣṭakaṃ dṛṣṭvāḥ tādṛṣṭaṃ likhitaṃ mayā || yadī suddhamasuddhambāḥ mama dokho na dīyate || hraśva dīrgha na jānāniḥ śvodhanīyamatujanai || saṃpūrṇasiddhidvayaḥ putrapautrahitāya || śrīśrīśrīmahāvairocanasatgurūmāhāmañjuśrīprītirastu śubhaṃ bhūyāt || śubhaṃ,in middle /// at end
M00524 - mahAbhairavapUjA.htm,mahAbhairavapUjA_M00524.xml,M00524,Mahābhairavapūjā,,,,https://muktabodha-digital-library.org/texts/IAST/M00524,,,,,incomplete,lacking explicit + final colophon,,,,,,"['tantric / āgamic literature', 'śaiva', 'Paddhati']",,,,no,
M00205 - bhaskararaya - mahAyAgakrama.htm,bhaskararaya_mahAyAgakrama_M00205.xml,M00205,Mahāyāgakrama,,Bhāskararāya,mbP0062,https://muktabodha-digital-library.org/texts/IAST/M00205,,,,,,,,,,,,['tantric / āgamic literature'],colophon,,,śrītantrarāje pañcatriṃśapaṭale bhāvanopaniṣatpratipādita mahāyāgakramasyopabrahmaṇaślokāḥ /// iti kaulamārgapārāvārapārīṇa śrīmadbhāskararāyaviracitaṃ kaulopaniṣadbhāṣyaṃ saṃpūrṇam,in middle /// at end
M00035 - mahezvarAnanda - mahArthamaJjarI.htm,mahezvarAnanda_mahArthamaJjarI_M00035.xml,M00035,Mahārthamañjarī,With the parimala commentary,Maheśvarānanda,mbP0063,https://muktabodha-digital-library.org/texts/IAST/M00035,Śāstrī Gaṇapati,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir', 'kālīkula / krama']",colophon,,,iti śrīmahāprakāśaśiṣyasya gorakṣāparaparyāyasya śrīmanmaheśvarānandasya kṛtirmahārthamañjarīparimalaḥ sampūrṇaḥ + ADDITIONAL VERSES,
M00404 - mahAlakSmIdIpadAnavidhiH.htm,mahAlakSmIdIpadAnavidhiH_M00404.xml,M00404,Mahālakṣmīdīpadānavidhiḥ,,,,https://muktabodha-digital-library.org/texts/IAST/M00404,,,,,,,,,,,,"['tantric / āgamic literature', 'śākta']",,,,iti śrīśrī śrīmahālakṣmīsake mahādīpacchota kāyā vidhiḥ samāptaḥ,
M00407 - mahAlakSmIpUjAvidhiH.htm,mahAlakSmIpUjAvidhiH_M00407.xml,M00407,Mahālakṣmīpūjāvidhiḥ,,,,https://muktabodha-digital-library.org/texts/IAST/M00407,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantric / āgamic literature', 'śākta']",,,,no,
M00109 - mahAvAkyopaniSat.htm,mahAvAkyopaniSat_M00109.xml,M00109,Mahāvākyopaniṣat Vivaraṇa,encoding of all diacritics is flawed,Brahmayogin,mbP0128,https://muktabodha-digital-library.org/texts/IAST/M00109,Śāstrī Mahādeva,,,,,yes,colophon,Mahāvākya Upaniṣat,ilxM00051,commentary,including the mūla,"['tantric / āgamic literature', 'yoga', 'upaniṣad', 'yogopaniṣad', 'yogopaniṣad']",colophon,,,iti śrīmadīśādyaṣṭottaraśatopaniṣacchāstravivaraṇe dvinavatisaṃkhyāpūrakaṃ mahāvākyopaniṣadvivaraṇaṃ saṃpūrṇam,
I00004 - aghorazivAcArya - mahotsavavidhi kriyAkramadyotikA.htm,aghorazivAcArya_mahotsavavidhi_kriyAkramadyotikA_I00004.xml,I00004,Mahotsavavidhi Kriyākramadyotikā,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/I00004,,,,,,yes (with lacunae),,,,,,"['śaiva', 'śaiva-siddhānta', 'Paddhati']",colophon,Śrīmad Aghoraśiva Ācārya,colophon,Here a few of their colophons: iti śrīparameśvaraparamanāmadheyaśrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ nai(jā)yakotsavādibhaktotsavāntavidhiḥ samāptaḥ /// iti parameśvaraparamanāmadheya śrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ bṛhattālādiṛkṣotsavāntavidhiḥ samāptaḥ/// iti śrīparameśvaraparamanāmadheya śrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ prāyaścittavidhiḥ samāptaḥ,many sections listed at incipit
M00131 - aghoraziva - mahotsavavidhikrama.htm,aghoraziva_mahotsavavidhikrama_M00131.xml,M00131,Mahotsavavidhikrama,,Aghoraśiva,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00131,Richard Davis,,,,,,,,,,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'śaiva-siddhānta post 1100 AD']",colophon,Śrīmad Aghoraśiva Ācārya,colophon,iti parameśvara nāmadheya śrīmadaghoraśivācāryaviracitāyāṃ kriyākramadyotikāyāṃ brahmattālādiṛkṣotsavāntavidhiḥ (k: bṛhattā- -vidhis) samāptaḥ,
M00341 - svatantrAnandanatha - mAtRkAcakraviveka.htm,svatantrAnandanatha_mAtRkAcakraviveka_M00341.xml,M00341,Mātṛkācakra Viveka,,Svatantrānanda Natha,mbP0065,https://muktabodha-digital-library.org/texts/IAST/M00341,Pandit Lalita Prasada Dabral,,,,,,colophon,,ilxM00051,commentary,including the mūla,['tantric / āgamic literature'],catalog,,,iti mātṛkācakraviveke turyavivekaḥ pañcamaḥ khaṇḍaḥ || mātṛkācakravivekamūlaṃ sampūrṇam /// iti mātṛkācakravyākhyānaṃ sampūrṇam,almost at end /// at end
M00634 - mAtRkAtantra.htm,mAtRkAtantra_M00634.xml,M00634,Mātṛkātantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00634,,,,,,,,,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,oṃsamāptaṃcedaṃ || oṃ śrīmātṛkātantraṃsampūrṇam (amudritam),
M00626 - bhAnudIkSitaH nArAyaNadIkSita-putraH - mAtRkArNanighaNTu.htm,bhAnudIkSitaH_nArAyaNadIkSita-putraH_mAtRkArNanighaNTu_M00626.xml,M00626,Mātṛkārṇanighaṇṭu,,Bhānu Dīkṣitaḥ,mbP0066,https://muktabodha-digital-library.org/texts/IAST/M00626,,,,,,,,,,,,['śaiva'],colophon,,,itiśrīmatsakalavidvānmaṃḍalīmaṃḍanaśrīdikṣitanārāyaṇatanayadī(*)bhānunāviracitomātṛkārṇanighaṃṭaḥsamāptiti,
M00158 - abhinavagupta - mAlinIvijayavArtika.htm,abhinavagupta_mAlinIvijayavArtika_M00158.xml,M00158,Mālinīvijayavārtika,,Abhinavagupta,mbP0017,https://muktabodha-digital-library.org/texts/IAST/M00158,,,,,,2 chapters,,,M00160,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'non-dual śaivism of Kashmir']",colophon,Śrīman Mahāmāheśvara Ācārya Varya Abhinavagupta,colophon,pravarapuranāmadheye pure pūrve kāśmīriko'bhinavaguptaḥ | mālinyādimavākye vārtikametadracayati sma || iti śrīmanmahāmāheśvarācāryavaryābhinavaguptapādaviracite śrīmālinīvijayottaraślokavārtike dvitīyaḥ kāṇḍaḥ || śubhāya(?) bhavītu ||,
M00160 - mAlinIvijayottaratantra.htm,mAlinIvijayottaratantra_M00160.xml,M00160,Mālinīvijayottaratantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00160,Śāstrī M.R.,,,,,,,Mālinīvijayatantra,,,,"['tantric / āgamic literature', 'tantra / āgama']",,,,iti śrīmālinīvijayottare tantre trayoviṃśatitamo'dhikāraḥ || samāptaṃ cedaṃ mālinīvijayottaraṃ nāma mahātantram,
M00225 - mAhezvaratantra.htm,mAhezvaratantra_M00225.xml,M00225,Māheśvaratantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00225,,,,,,,,,,,,['tantra / āgama'],,,,iti śrīmanmāheśvaratantre uttarakhaṇḍe śivomāsaṃvāde ekapañcāśatamaṃ paṭalam || samāptamidaṃ śrīmāheśvaraṃ tantram,
M00424 - mukuTAgama.htm,mukuTAgama_M00424.xml,M00424,Mukuṭāgama,,,,https://muktabodha-digital-library.org/texts/IAST/M00424,,,,,,,,,,,,"['tantra / āgama', 'śaiva']",,,,iti makuṭasaṃhitāyāṃ sārasaṅgrahe trisahasrassamāptaḥ || hariḥ oṃ || śivakāmasundarīsameta citsabheśvarāya namaḥ || devī sahāyam || śubhamastu,
M00537 - muNDamAlAtantram 1.htm,muNDamAlAtantram_1_M00537.xml,M00537,Muṇḍamālātantra 1,,,,https://muktabodha-digital-library.org/texts/IAST/M00537,Rasika Mohana Caṭṭopādhyāya,,,,,,,,,,,['tantra / āgama'],,,,iti muṇḍamālātantre mantrasiddhistotrakavacaṃ nāma daśamaḥ paṭalaḥ || iti prathamaṃ muṇḍamālātantraṃ samāptam,
M00538 - muNDamAlAtantram 2.htm,muNDamAlAtantram_2_M00538.xml,M00538,Muṇḍamālātantra 2,,,,https://muktabodha-digital-library.org/texts/IAST/M00538,Rasika Mohana Caṭṭopādhyāya,,,,,,,,,,,['tantra / āgama'],,,,iti dvitīye muṇḍamālātantre ṣaṣṭhaḥ paṭalaḥ || samāptaścāyaṃ granthaḥ,
M00627 - mudrAprakAza.htm,mudrAprakAza_M00627.xml,M00627,Mudrāprakāśa,,Rāma Kiśora,mbP0117,https://muktabodha-digital-library.org/texts/IAST/M00627,,,,,incomplete,lacking explicit+final colophon,,,,,,['śaiva'],incipit,,,natvāgurupadaṃrāmakiśoreṇeṣṭasiddhidaṃ sādhakānāṃmudemudrāprakāśoyaṃviracyate,almost at beginning
M00212 - mRgendrapaddhatiTIkA.htm,mRgendrapaddhatiTIkA_M00212.xml,M00212,Mṛgendrapaddhati Ṭīkā,,Vaktraśambhu,mbP0145,https://muktabodha-digital-library.org/texts/IAST/M00212,,,,,,,colophon,,ilXM00052,commentary,including the mūla,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta', 'Paddhati']",colophon,,,iti lakṣadvayādhyāpakaśrīmadaghoraśivācāryaraci (***) nityārcanavidhiḥ samāptaḥ ////  śrīnaṭeśvareṇa guruṇā vaktrādinā śambhunā śrīmacchaṅkarasūnunā viracitā ṭīkā samāptā || śrīmacchrīmṛgendrarājapaddhatiriti prāptaprathāyāḥ kṛtorādhyasya dīyapāśavipinacchede kuṭhārātmanaḥ || iti mṛgendrapaddhatiṭīkā samāptā,towards beginning /// at end
M00255 - aghorazivAcArya - mRgendravRttidIpikA.htm,aghorazivAcArya_mRgendravRttidIpikA_M00255.xml,M00255,Mṛgendravṛtti Dīpikā,,Aghoraśivācārya,mbP0028,https://muktabodha-digital-library.org/texts/IAST/M00255,,,,,incomplete,lacking explicit+final colophon,colophon,,ilxM00053,sub-commentary to ilxM00105,,"['tantric / āgamic literature', 'śaiva', 'śaiva-siddhānta']",catalog,,,bhaṭṭanārāyaṇakaṇṭhaviracitamṛgendravṛttyāḥ vyākhyā,
M00037 - mRgendrAgama.htm,mRgendrAgama_M00037.xml,M00037,Mṛgendrāgama Dīpikā And Vṛtti,,"Aghoraśiva Ācārya, Bhaṭṭa Nārāyaṇa Kaṇṭha","mbP0028, mbP0094 ",https://muktabodha-digital-library.org/texts/IAST/M00037,Dyczkowski Mark S. G.,,,,,,colophon,,"ilxM00053, ilxM00105, M00255",commentary and sub-commentary together in one file,including the mūla,"['tantric / āgamic literature', 'tantra / āgama', 'śaiva', 'śaiva-siddhānta']","colophon, colophon",,,ityaghoraśivācāryaviracitāyāṃ mṛgendravṛttidīpikāyām adhvaprakaraṇaṃ samāptam ///  iti śrībhaṭṭavidyākaṇṭhātmajaśrībhaṭṭanārāyaṇakaṇṭhaviracitāyāṃ mṛgendravṛttau yogapādassamāptaḥ,towards end /// at end
M00644 - mRtitatvAnusandhAndarzanam.htm,mRtitatvAnusandhAndarzanam_M00644.xml,M00644,Mṛtitattvānusmaraṇa Bhṛṅgīśasaṃhitā,,,,https://muktabodha-digital-library.org/texts/IAST/M00644,,,,,uncertain,? yes - check title,,,,,,['tantra / āgama'],,,,itiśrībhṛṅgīśasaṃhitāyāṃbhairavībhairavasaṃvādemṛttitatvānusmaraṇecaturthaḥpaṭalaḥ /// itimantraṃpaṭhitvācadīpāndadyāthāvidhivividhā itiśubham mṛtisandhāna,towards end /// at end
M00413 - mRtyuJjayakalpa.htm,mRtyuJjayakalpa_M00413.xml,M00413,Mṛtyuñjayakalpa,,,,https://muktabodha-digital-library.org/texts/IAST/M00413,,,,,uncertain,yes?,,,,,,['tantra / āgama'],,,,iti śrī mṛtyuñjayakalpa sarvopadravaphalaśāntikaṃ saṃpāptaṃ + additional text,
M00553 - mRtyuNjayanityArcanavidhi.htm,mRtyuNjayanityArcanavidhi_M00553.xml,M00553,Mṛtyuṇjayanityārcanavidhi,,,,https://muktabodha-digital-library.org/texts/IAST/M00553,,,,,incomplete,lacking explicit+final colophon,,,,,,"['tantra / āgama', 'Paddhati']",,,,atha śrīgaṇapatyādi caturāyatanāṅgasahita śrīmṛtyuñjayanityārccanapaddhati likhyate,at beginning
M00554 - mRtyuNjayapUjApaddhati.htm,mRtyuNjayapUjApaddhati_M00554.xml,M00554,Mṛtyuṇjayapūjāpaddhati,,,,https://muktabodha-digital-library.org/texts/IAST/M00554,,,,,uncertain,yes?,,,,,,"['tantra / āgama', 'Paddhati']",,,,thvate śanaiścara pāṭhaḥ samāptaḥ || śubhaṃ ||,
M00195 - merutantra.htm,merutantra_M00195.xml,M00195,Merutantra,,,,https://muktabodha-digital-library.org/texts/IAST/M00195,,,,,,,,,,,,"['tantra / āgama', 'śaiva']",,,,iti śrīmahāmāyāmahākālānumate merutantre śivapraṇīte kārttavīryyārjunamantrakathanaṃ nāma pañcatriṃśattamaḥ prakāśaḥ || samāptaścāyaṃ granthaḥ || śubhamastu,
M00315 - kANDadvayAtItayogI - mokSasopAna.htm,kANDadvayAtItayogI_mokSasopAna_M00315.xml,M00315,Mokṣasopāna Ṭīkā,,Kāṇḍadvayātītayogī,mbP0067,https://muktabodha-digital-library.org/texts/IAST/M00315,,,,,,,colophon,,ilxM00097,commentary,including the mūla,"['compendium', 'tantric / āgamic literature', 'śākta']",Catalogus Catalogorum,,,iti mokṣasopānaṭīkā samāptā,
